ctname,rfgrp,prednum,popuni,percentage
"Alamance County, NC",0RF,96568,323580,29.84
"Alamance County, NC",1-2RF,149414,323580,46.18
"Alamance County, NC",3PLRF,77598,323580,23.98
"Alexander County, NC",0RF,19578,72192,27.12
"Alexander County, NC",1-2RF,34884,72192,48.32
"Alexander County, NC",3PLRF,17730,72192,24.56
"Alleghany County, NC",0RF,5468,22292,24.53
"Alleghany County, NC",1-2RF,10006,22292,44.89
"Alleghany County, NC",3PLRF,6818,22292,30.58
"Anson County, NC",0RF,10546,45898,22.98
"Anson County, NC",1-2RF,21086,45898,45.94
"Anson County, NC",3PLRF,14266,45898,31.08
"Ashe County, NC",0RF,13940,54136,25.75
"Ashe County, NC",1-2RF,23814,54136,43.99
"Ashe County, NC",3PLRF,16382,54136,30.26
"Avery County, NC",0RF,8248,30470,27.07
"Avery County, NC",1-2RF,13198,30470,43.31
"Avery County, NC",3PLRF,9024,30470,29.62
"Beaufort County, NC",0RF,23442,93976,24.94
"Beaufort County, NC",1-2RF,41340,93976,43.99
"Beaufort County, NC",3PLRF,29194,93976,31.07
"Bertie County, NC",0RF,7486,35864,20.87
"Bertie County, NC",1-2RF,16016,35864,44.66
"Bertie County, NC",3PLRF,12362,35864,34.47
"Bladen County, NC",0RF,12630,66258,19.06
"Bladen County, NC",1-2RF,30142,66258,45.49
"Bladen County, NC",3PLRF,23486,66258,35.45
"Brunswick County, NC",0RF,64616,272968,23.67
"Brunswick County, NC",1-2RF,120786,272968,44.25
"Brunswick County, NC",3PLRF,87566,272968,32.08
"Buncombe County, NC",0RF,158168,510838,30.96
"Buncombe County, NC",1-2RF,231842,510838,45.38
"Buncombe County, NC",3PLRF,120828,510838,23.65
"Burke County, NC",0RF,47596,177102,26.87
"Burke County, NC",1-2RF,83324,177102,47.05
"Burke County, NC",3PLRF,46182,177102,26.08
"Cabarrus County, NC",0RF,148952,421612,35.33
"Cabarrus County, NC",1-2RF,197886,421612,46.94
"Cabarrus County, NC",3PLRF,74774,421612,17.74
"Caldwell County, NC",0RF,43560,163148,26.7
