CountyID,county_name,CVcases,CVdeaths,CVcases/PopUni,CVdeaths/PopUni,RF0,RF1-2,RF3,RF>0,PopUni, POP2019 ,Pop <5,Pop <18,Pop >65,Female,Race_White,Race_Black,Race_Other,Race_OtherMinusAsian,Hispanic,Race_White not Hispanic,Foreign born,House_Own, House_value , House_rent ,GRWTH_BP_H,GRWTH_BP_P, House_persons ,FORLanguage,House_Computer,House_Internet,Ed_HSGRAD,ED_CollGRAD,Disability,NoINSUR,EMP_ALL,EMP_F, House_Income ,POVRATE,PopEmpRATE,Pop Density/mile
1,Alamance,1684,39, 1.04 , 0.02 ,29.84,46.18,23.98,70.16," 161,790 "," 169,509 ", 5.90 , 22.00 , 17.10 , 52.50 , 73.60 , 20.90 , 5.50 , 3.80 , 13.10 , 62.90 , 7.90 , 65.00 ," 147,800 ", 798 , 2.20 , 0.83 , 2.43 , 12.60 , 86.90 , 75.90 , 85.50 , 24.00 , 9.90 , 13.80 , 62.40 , 57.70 ," 45,735 ", 13.50 , 35.19 , 399.8 
2,Alexander,213,1, 0.59 , 0.00 ,27.12,48.32,24.56,72.88," 36,096 "," 37,497 ", 5.00 , 19.90 , 20.40 , 49.00 , 90.80 , 5.90 , 3.30 , 2.30 , 4.80 , 86.70 , 3.50 , 75.30 ," 130,600 ", 641 , 0.68 , 0.25 , 2.61 , 5.40 , 78.60 , 69.70 , 81.60 , 14.70 , 13.50 , 12.80 , 57.20 , 53.60 ," 44,961 ", 13.00 , 20.60 , 144.2 
3,Alleghany,53,0, 0.48 , -   ,24.53,44.89,30.58,75.47," 11,146 "," 11,137 ", 4.60 , 17.00 , 28.00 , 50.40 , 95.40 , 1.80 , 2.80 , 2.00 , 9.90 , 86.70 , 4.90 , 75.00 ," 126,000 ", 645 , 1.03 , 0.44 , 2.28 , 6.90 , 77.70 , 70.60 , 76.60 , 16.70 , 16.50 , 17.80 , 51.90 , 45.80 ," 37,558 ", 18.70 , 19.48 , 47.4 
4,Anson,260,1, 1.13 , 0.00 ,22.98,45.94,31.08,77.02," 22,949 "," 24,446 ", 5.30 , 19.80 , 19.30 , 48.70 , 47.40 , 48.50 , 4.10 , 2.60 , 4.10 , 44.30 , 3.00 , 66.90 ," 89,300 ", 705 , 0.49 , 0.19 , 2.47 , 5.30 , 78.60 , 69.00 , 80.50 , 9.60 , 12.50 , 13.40 , 54.80 , 54.10 ," 39,126 ", 20.50 , 21.48 , 46.0 
5,Ashe,73,1, 0.27 , 0.00 ,25.75,43.99,30.26,74.25," 27,068 "," 27,203 ", 3.90 , 17.40 , 26.60 , 51.00 , 96.90 , 1.00 , 2.10 , 1.60 , 5.10 , 92.30 , 3.50 , 75.20 ," 152,500 ", 596 , 0.97 , 0.42 , 2.23 , 5.30 , 78.30 , 69.40 , 84.20 , 19.00 , 10.40 , 15.40 , 57.90 , 54.30 ," 40,978 ", 16.90 , 21.84 , 63.8 
6,Avery,42,0, 0.28 , -   ,27.07,43.31,29.62,72.93," 15,235 "," 17,557 ", 3.70 , 14.70 , 22.90 , 45.80 , 92.90 , 4.70 , 2.40 , 1.80 , 5.10 , 88.50 , 3.30 , 74.70 ," 150,600 ", 765 , 1.99 , 0.75 , 2.15 , 5.50 , 79.10 , 67.20 , 82.30 , 20.60 , 12.90 , 18.10 , 46.10 , 48.70 ," 38,134 ", 16.80 , 25.82 , 71.1 
7,Beaufort,197,0, 0.42 , -   ,24.94,43.99,31.07,75.06," 46,988 "," 46,994 ", 4.80 , 19.80 , 24.60 , 52.50 , 72.00 , 24.80 , 3.20 , 2.70 , 8.00 , 65.90 , 3.00 , 70.40 ," 128,300 ", 713 , 0.84 , 0.34 , 2.42 , 5.80 , 79.00 , 65.40 , 87.60 , 19.40 , 13.10 , 13.10 , 53.60 , 49.60 ," 43,688 ", 18.10 , 28.21 , 56.8 
8,Bertie,178,4, 0.99 , 0.02 ,20.87,44.66,34.47,79.13," 17,932 "," 18,947 ", 4.30 , 17.40 , 23.60 , 49.30 , 36.20 , 61.10 , 2.70 , 1.90 , 2.40 , 34.70 , 0.90 , 74.90 ," 80,900 ", 668 , 0.24 , 0.10 , 2.29 , 3.70 , 71.60 , 55.50 , 78.70 , 13.40 , 14.10 , 12.60 , 51.30 , 50.30 ," 33,143 ", 23.50 , 25.67 , 27.1 
9,Bladen,485,5, 1.46 , 0.02 ,19.06,45.49,35.45,80.94," 33,129 "," 32,722 ", 4.90 , 20.30 , 22.80 , 52.50 , 60.80 , 34.00 , 5.20 , 4.90 , 7.80 , 54.90 , 4.20 , 70.80 ," 90,000 ", 653 , 0.37 , 0.16 , 2.38 , 8.10 , 77.70 , 65.20 , 80.10 , 15.10 , 15.10 , 17.80 , 50.20 , 46.50 ," 32,378 ", 29.10 , 30.83 , 37.4 
10,Brunswick,943,13, 0.69 , 0.01 ,23.67,44.25,32.08,76.33," 136,484 "," 142,820 ", 3.70 , 14.70 , 32.60 , 52.30 , 86.50 , 10.00 , 3.50 , 2.80 , 4.90 , 82.30 , 4.00 , 79.00 ," 199,900 ", 903 , 6.18 , 2.35 , 2.32 , 5.20 , 90.90 , 81.20 , 90.40 , 28.60 , 12.90 , 13.70 , 49.90 , 46.10 ," 54,406 ", 10.50 , 18.96 , 168.6 
