ZIP Code,Cases,Cases Per 10000 Residents,Deaths,Number of Records
27311,5,16,0,1
27919,0,0,0,1
28698,1,5,0,1
27962,23,31,0,1
28345,100,79,3,1
27343,4,22,0,1
28173,355,56,0,1
28792,459,121,39,1
27407,435,87,8,1
27915,8,106,0,1
28580,161,134,3,1
28340,215,200,13,1
27890,19,79,0,1
27882,79,100,1,1
28101,0,0,0,1
28685,5,26,0,1
28501,98,50,2,1
27587,411,55,9,1
28168,53,51,0,1
27978,0,0,0,1
28520,0,0,0,1
28040,22,27,0,1
28006,5,44,0,1
27295,297,76,10,1
28411,187,48,2,1
28538,24,72,0,1
28373,13,51,0,1
28697,156,117,2,1
28711,22,14,0,1
27288,91,39,0,1
28451,210,54,2,1
27845,6,21,0,1
27546,156,70,22,1
28365,454,266,15,1
27965,0,0,0,1
28790,12,32,0,1
27360,351,73,0,1
27041,31,39,0,1
27370,75,51,0,1
28112,388,138,5,1
28544,7,12,0,1
28587,0,0,0,1
28174,102,110,2,1
28215,"1,332",221,9,1
27243,37,79,1,1
28124,45,64,1,1
28530,59,79,0,1
27326,20,54,1,1
28393,50,231,0,1
27557,86,93,0,1
28348,191,53,1,1
28742,5,18,0,1
27604,660,139,4,1
28467,79,69,1,1
27927,3,49,0,1
27711,0,0,0,1
27403,84,39,5,1
28445,32,39,0,1
28167,14,58,0,1
27581,22,56,0,1
28622,3,11,0,1
27291,1,7,0,1
28651,63,95,0,1
28543,10,15,1,1
27591,215,92,0,1
28670,10,31,1,1
28504,170,81,6,1
27306,46,77,2,1
27544,26,61,0,1
27301,50,50,2,1
27350,23,31,0,1
28036,113,61,3,1
28470,113,84,0,1
27928,16,85,0,1
28327,85,47,1,1
27964,0,0,0,1
28214,626,152,3,1
27551,12,54,1,1
27972,0,0,0,1
28338,39,81,0,1
28150,187,64,8,1
27976,14,39,0,1
27860,9,44,0,1
27983,75,71,2,1
28665,14,47,0,1
28654,32,84,0,1
27832,29,100,0,1
27936,6,62,0,1
28384,252,203,2,1
28607,93,25,0,1
28205,934,180,22,1
28270,180,52,1,1
27862,1,11,0,1
27610,"1,338",180,16,1
28372,66,43,1,1
28273,708,175,2,1
27916,1,18,0,1
27896,164,77,4,1
28039,0,0,0,1
28801,52,31,1,1
28210,917,205,13,1
27872,0,0,0,1
27973,3,20,0,1
27019,22,52,0,1
27522,139,102,0,1
27957,10,70,0,1
28227,900,157,8,1
28441,47,141,1,1
28032,23,71,0,1
27713,422,78,4,1
28751,14,37,0,1
28642,38,68,0,1
27813,4,58,0,1
28412,252,59,0,1
28718,1,16,0,1
27615,257,56,0,1
27040,47,36,0,1
27502,193,44,2,1
28020,3,12,0,1
28213,912,201,5,1
28387,78,46,2,1
28602,253,81,0,1
28304,219,55,4,1
28627,5,33,0,1
28433,32,60,0,1
28323,22,48,0,1
27596,91,49,0,1
27574,44,29,0,1
27920,20,141,0,1
27831,25,70,0,1
28551,148,104,3,1
28303,116,34,0,1
27208,17,101,0,1
28539,45,25,0,1
27045,77,80,1,1
27562,17,61,0,1
27006,52,35,3,1
28166,53,54,0,1
27603,451,81,1,1
27016,4,24,0,1
28075,148,77,4,1
28383,108,140,2,1
28079,252,63,3,1
27803,92,41,3,1
27282,62,37,2,1
27606,282,59,2,1
28781,0,0,0,1
27922,1,9,0,1
27411,0,0,0,1
28766,3,20,0,1
28444,79,347,0,1
27017,126,133,0,1
27953,3,30,0,1
27946,3,28,0,1
28524,0,0,0,1
28555,12,26,0,1
27960,0,0,0,1
28114,45,50,0,1
28312,77,42,1,1
27573,58,50,1,1
28023,82,55,0,1
28308,0,0,0,1
27948,36,29,0,1
28739,66,30,0,1
28583,0,,0,1
28429,29,34,0,1
28422,61,70,4,1
28621,106,102,0,1
28783,16,84,0,1
27712,241,109,18,1
28546,91,18,1,1
27947,2,24,0,1
28805,52,25,3,1
27601,72,59,1,1
28734,249,88,1,1
27821,0,0,0,1
28027,619,84,13,1
27157,0,0,0,1
27599,0,,0,1
28366,87,169,0,1
28160,42,105,2,1
28772,0,0,0,1
27864,61,126,1,1
27609,340,88,4,1
27910,121,104,10,1
27379,27,45,0,1
28722,27,39,0,1
27592,102,59,1,1
27320,125,32,2,1
28159,39,125,0,1
28379,209,81,4,1
28775,0,0,0,1
28516,16,13,2,1
27851,59,105,0,1
28601,449,90,9,1
27007,13,61,0,1
27865,8,40,0,1
28450,39,163,3,1
28204,114,130,1,1
27876,6,47,1,1
27205,400,116,3,1
27981,1,5,0,1
27021,77,43,1,1
27412,0,0,0,1
27888,20,71,0,1
27018,78,95,1,1
27212,47,294,0,1
28092,229,57,0,1
28725,0,0,0,1
28390,103,44,2,1
27852,23,67,0,1
27613,176,38,0,1
28374,136,75,7,1
27939,4,12,0,1
28757,0,,0,1
27229,90,224,0,1
28637,10,63,0,1
27047,4,31,0,1
28073,29,52,1,1
28425,110,87,2,1
28034,149,83,4,1
28542,11,18,0,1
28318,25,55,0,1
27847,4,37,0,1
27239,41,43,1,1
28357,28,87,0,1
