Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Buncombe ,"261,191","238,330",9.60%,"238,318",4.80%,18.20%,20.50%,52.10%,89.40%,6.30%,0.50%,1.40%,0.20%,2.20%,6.80%,83.40%,"17,639",5.70%,"127,972",63.80%,"$222,300 ","$1,330 ",$396 ,$933 ,"2,096","107,093",2.31,86.50%,7.80%,87.50%,80.90%,91.00%,39.20%,9.20%,12.50%,61.50%,57.00%,"880,092","2,518,169","2,839,482","1,286,734","3,884,191","$15,887 ",20.1,"$50,668 ","$31,439 ",11.50%,"8,737","124,514","5,064,159",2.80%,"28,970","28,498","14,685","10,468","2,113","25,428","2,564","24,586",362.9,656.67,"""37021"""
Burke ,"90,485","90,837",-0.40%,"90,912",4.80%,18.40%,20.70%,50.00%,86.10%,6.90%,0.90%,3.60%,0.70%,1.80%,6.50%,81.40%,"6,206",4.40%,"41,596",72.30%,"$116,400 ","$1,021 ",$326 ,$642 ,290,"34,672",2.5,87.80%,8.00%,78.80%,68.30%,80.90%,16.60%,14.90%,13.60%,56.30%,53.50%,"97,235","461,466","2,804,569","226,190","680,513","$7,519 ",21.9,"$42,516 ","$23,466 ",14.00%,"1,456","24,969","889,096",4.70%,"5,230","6,660","4,184","1,759",511,"5,967",650,"5,661",179.3,507.1,"""37023"""
Cabarrus,"216,453","178,121",21.50%,"178,011",6.40%,25.40%,13.40%,51.20%,72.40%,19.60%,0.70%,4.70%,0.10%,2.40%,11.10%,63.40%,"12,024",8.00%,"82,526",71.50%,"$189,100 ","$1,380 ",$416 ,$884 ,"2,714","72,299",2.76,86.30%,12.60%,92.50%,87.70%,90.00%,31.20%,7.00%,10.60%,68.20%,62.40%,"427,974","568,063","1,757,916","1,600,273","2,920,274","$15,828 ",27.8,"$64,174 ","$31,050 ",9.00%,"4,466","67,410","2,649,060",1.10%,"16,583","15,965","8,643","5,371","2,829","12,516","2,247","12,965",492.1,361.75,"""37025"""
Caldwell ,"82,178","83,058",-1.10%,"83,029",5.10%,19.90%,20.40%,50.50%,91.50%,5.20%,0.60%,0.80%,0.10%,1.80%,5.90%,86.70%,"5,031",3.50%,"38,250",71.30%,"$115,700 ",$979 ,$317 ,$643 ,73,"32,594",2.48,85.60%,5.70%,81.90%,74.70%,79.70%,15.30%,13.40%,14.40%,58.00%,52.60%,D,"234,404","1,158,139","202,263","700,961","$8,556 ",24.1,"$42,072 ","$22,945 ",15.90%,"1,355","22,122","805,621",4.70%,"4,984","6,250","3,805","1,633",580,"5,521",475,"5,388",176.1,471.57,"""37027"""
Camden ,"10,867","9,980",8.90%,"9,980",5.00%,22.60%,16.90%,50.10%,82.70%,11.50%,0.60%,2.10%,0.10%,3.00%,3.00%,80.50%,"1,377",2.90%,"4,381",80.50%,"$210,300 ","$1,633 ",$431 ,"$1,045 ",83,"3,836",2.71,91.80%,5.40%,89.00%,83.60%,85.60%,17.90%,9.50%,11.90%,60.30%,54.50%,"1,540","1,437",X,"4,108","24,903","$2,468 ",32.8,"$63,349 ","$26,951 ",8.30%,113,501,"16,189",-6.00%,730,742,485,191,113,618,249,469,41.5,240.56,"""37029"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
