Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Carteret ,"69,473","66,463",4.50%,"66,469",4.00%,17.20%,25.70%,51.00%,90.10%,5.60%,0.60%,1.30%,0.20%,2.10%,4.40%,86.50%,"7,954",3.30%,"50,965",72.20%,"$207,900 ","$1,404 ",$427 ,$896 ,493,"29,690",2.28,85.70%,5.50%,90.20%,82.40%,91.10%,28.40%,14.50%,13.30%,56.40%,52.90%,"164,400","283,725","343,677","85,729","972,796","$14,384 ",23.2,"$54,428 ","$32,005 ",9.80%,"2,027","19,920","659,203",1.90%,"6,772","7,585","4,138","2,293",403,"6,869","1,134","5,810",131.3,506.25,"""37031"""
Caswell ,"22,604","23,731",-4.70%,"23,719",4.90%,18.70%,22.10%,49.20%,64.50%,32.30%,0.80%,0.60%,Z,1.80%,4.60%,61.00%,"1,554",2.50%,"10,892",78.80%,"$109,100 ","$1,064 ",$342 ,$553 ,21,"9,110",2.38,90.60%,3.90%,75.80%,63.10%,79.50%,15.50%,12.60%,13.20%,54.30%,52.10%,D,"23,706","33,308",D,"63,883","$2,752 ",30.7,"$43,961 ","$22,982 ",17.10%,247,"1,785","51,634",4.00%,"1,149","1,106",480,480,279,801,88,992,55.8,424.92,"""37033"""
Catawba,"159,551","154,717",3.10%,"154,358",5.60%,21.90%,18.30%,51.10%,83.90%,8.90%,0.60%,4.50%,0.10%,2.00%,10.10%,74.90%,"10,084",7.00%,"69,865",69.40%,"$141,900 ","$1,076 ",$337 ,$724 ,852,"61,099",2.52,87.30%,12.90%,86.20%,78.80%,85.20%,21.90%,10.00%,13.50%,62.40%,56.90%,"290,679","1,153,608","5,850,929","4,053,833","2,607,313","$16,893 ",22.4,"$51,157 ","$26,950 ",13.00%,"4,160","82,963","3,446,088",0.30%,"10,790","13,973","7,886","4,269","1,320","11,944","1,241","11,730",387.1,398.72,"""37035"""
Chatham ,"74,470","63,485",17.30%,"63,505",4.80%,19.90%,25.00%,52.20%,82.20%,12.40%,1.20%,2.20%,0.10%,1.90%,12.10%,72.10%,"4,431",8.70%,"33,711",76.50%,"$265,900 ","$1,600 ",$454 ,$833 ,902,"28,527",2.42,89.70%,14.40%,87.50%,76.80%,88.20%,41.30%,10.30%,13.40%,58.00%,52.20%,"91,329","179,122","487,407","114,996","583,012","$8,837 ",29.6,"$63,531 ","$39,299 ",9.30%,"1,464","14,277","493,090",0.10%,"6,553","6,478","3,368","2,299",767,"5,523",666,"5,569",93.1,682.19,"""37037"""
Cherokee ,"28,612","27,447",4.20%,"27,444",4.20%,16.50%,30.50%,51.30%,93.60%,1.60%,1.60%,0.70%,0.10%,2.50%,3.30%,91.10%,"2,819",2.60%,"18,595",80.20%,"$152,200 ","$1,015 ",$311 ,$718 ,190,"11,895",2.29,88.50%,3.60%,81.90%,69.90%,86.30%,19.20%,13.70%,15.20%,47.00%,44.80%,"40,981","96,737","317,132","84,432","363,600","$13,471 ",24.1,"$40,294 ","$22,754 ",18.80%,580,"7,310","230,144",-2.40%,"2,292","2,696","1,581",788,133,"2,440",244,"2,329",60.3,455.43,"""37039"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
