Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Cumberland ,"335,509","319,431",5.00%,"319,431",7.50%,24.70%,12.20%,50.40%,51.10%,39.10%,1.90%,2.70%,0.40%,4.80%,12.10%,42.40%,"43,870",6.40%,"147,313",51.00%,"$132,500 ","$1,213 ",$430 ,$922 ,962,"124,418",2.55,78.50%,11.60%,89.50%,81.70%,90.70%,25.00%,13.20%,10.70%,53.60%,55.10%,"629,426","2,106,467","3,827,013","1,028,764","4,374,210","$13,499 ",21,"$45,716 ","$24,301 ",17.00%,"5,648","93,370","3,408,179",0.20%,"18,982","21,117","10,155","8,867","8,774","11,540","3,095","16,822",489.7,652.32,"""37051"""
Currituck,"27,763","23,547",17.90%,"23,547",5.60%,21.90%,16.40%,50.20%,90.50%,5.80%,0.70%,0.80%,0.10%,2.10%,4.40%,86.90%,"2,962",2.00%,"16,436",82.60%,"$251,800 ","$1,625 ",$437 ,"$1,107 ",448,"10,148",2.53,87.70%,3.60%,90.90%,80.40%,89.20%,23.10%,11.10%,12.60%,61.10%,55.10%,D,"17,955",D,"58,697","275,248","$11,432 ",37.2,"$66,284 ","$30,017 ",9.70%,658,"4,834","177,508",5.60%,"2,226","2,426","1,429",604,117,"2,266",328,"1,908",89.9,261.85,"""37053"""
Dare ,"37,009","33,920",9.10%,"33,920",4.40%,18.70%,22.20%,50.90%,93.80%,2.80%,0.60%,0.90%,0.10%,1.90%,7.70%,87.00%,"3,330",4.80%,"35,263",70.90%,"$287,600 ","$1,712 ",$522 ,"$1,086 ",359,"15,441",2.3,85.70%,7.60%,94.20%,87.40%,93.30%,33.00%,9.90%,14.80%,64.40%,61.20%,D,D,"47,840",D,"863,879","$24,987 ",21.1,"$58,012 ","$33,550 ",8.30%,"1,967","14,955","529,312",3.00%,"5,470","6,113","3,284","1,501",362,"5,575",467,"5,282",88.5,383.42,"""37055"""
Davidson ,"167,609","162,822",2.90%,"162,878",5.50%,21.70%,18.50%,51.10%,85.60%,10.10%,0.80%,1.60%,0.10%,1.80%,7.40%,79.40%,"9,917",5.00%,"76,055",70.10%,"$137,000 ","$1,091 ",$346 ,$694 ,688,"65,471",2.49,86.30%,8.00%,84.70%,75.90%,83.40%,18.50%,11.40%,14.20%,60.40%,54.50%,"163,225","1,634,947","2,470,186","1,032,156","1,301,842","$7,974 ",24.8,"$47,271 ","$25,109 ",15.00%,"2,796","37,946","1,468,157",0.80%,"11,596","13,423","8,170","4,134","1,515","11,573","1,425","11,474",294.7,552.68,"""37057"""
Davie ,"42,846","41,221",3.90%,"41,240",4.90%,20.90%,21.70%,51.20%,90.00%,6.50%,0.70%,0.90%,Z,2.00%,7.30%,83.90%,"2,964",4.70%,"19,303",77.80%,"$172,700 ","$1,208 ",$361 ,$735 ,236,"15,999",2.6,88.40%,7.50%,87.20%,80.90%,86.70%,22.90%,10.40%,13.10%,59.50%,53.90%,"43,131","79,509","448,700","160,144","360,172","$8,693 ",26.2,"$57,611 ","$29,613 ",10.80%,833,"9,656","335,879",2.20%,"3,238","3,380","2,051",807,235,"3,054",284,"2,898",156.2,264.11,"""37059"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
