Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Duplin,"58,741","58,417",0.60%,"58,505",6.20%,23.80%,19.40%,51.20%,70.40%,25.50%,1.40%,0.70%,0.40%,1.60%,23.00%,51.00%,"3,303",11.80%,"26,040",70.00%,"$87,000 ","$1,109 ",$385 ,$666 ,47,"21,781",2.69,85.90%,20.30%,77.60%,60.90%,74.20%,11.10%,13.70%,20.70%,58.10%,51.20%,"44,098","133,211","2,056,739","473,125","466,370","$7,769 ",25.8,"$38,850 ","$19,455 ",20.40%,857,"13,201","422,501",-1.00%,"3,276","3,486","2,041","1,127",997,"2,392",387,"2,967",71.7,816.22,"""37061"""
Durham,"321,488","270,001",19.10%,"267,587",6.30%,20.40%,13.60%,52.30%,54.00%,36.90%,0.90%,5.50%,0.10%,2.60%,13.70%,43.00%,"15,218",13.80%,"142,017",53.80%,"$209,300 ","$1,438 ",$473 ,"$1,014 ","3,945","123,444",2.37,79.60%,18.80%,91.80%,85.40%,88.40%,47.50%,7.00%,12.60%,67.60%,65.20%,"832,483","3,784,995","8,955,517","6,468,740","3,402,052","$12,166 ",22.8,"$58,190 ","$34,063 ",13.50%,"7,612","195,524","13,684,278",1.90%,"26,142","24,763","11,979","10,338","9,077","14,451","2,226","21,268",935.7,285.98,"""37063"""
Edgecombe ,"51,472","56,539",-9.00%,"56,552",5.70%,22.50%,20.40%,53.80%,39.70%,57.80%,0.80%,0.30%,0.10%,1.30%,5.00%,36.00%,"3,014",2.20%,"25,063",59.40%,"$85,200 ","$1,055 ",$430 ,$677 ,32,"21,371",2.46,90.90%,4.40%,74.40%,61.60%,79.70%,12.70%,12.10%,12.70%,55.50%,52.30%,"38,147","203,142","1,028,877","205,952","372,108","$6,650 ",22.5,"$35,516 ","$20,055 ",22.90%,712,"11,615","368,691",-2.40%,"2,650","3,647","1,999","1,402","1,705","1,836",447,"3,006",111.9,505.34,"""37065"""
Forsyth,"382,295","350,638",9.00%,"350,670",5.80%,22.70%,16.40%,52.70%,66.60%,27.50%,0.90%,2.60%,0.10%,2.30%,13.30%,56.30%,"22,807",8.80%,"168,793",61.50%,"$154,500 ","$1,208 ",$400 ,$791 ,"2,255","146,685",2.46,84.90%,14.70%,88.60%,79.30%,88.80%,33.80%,6.70%,12.80%,61.50%,56.90%,"713,579","2,115,062","14,759,062","4,220,348","5,569,392","$15,551 ",21.7,"$50,128 ","$29,921 ",16.40%,"8,634","179,566","9,080,170",2.30%,"27,723","28,792","14,488","10,863","7,481","20,051","2,707","24,271",859.2,408.15,"""37067"""
Franklin ,"69,685","60,563",15.10%,"60,619",5.60%,21.80%,17.10%,50.50%,70.10%,25.90%,0.90%,0.70%,0.10%,2.20%,9.00%,63.00%,"3,695",5.50%,"29,726",73.30%,"$143,700 ","$1,212 ",$393 ,$810 ,918,"24,749",2.56,88.60%,7.40%,84.50%,75.40%,84.10%,21.30%,11.10%,13.80%,60.50%,56.00%,"27,796","86,887","1,047,254","150,202","353,700","$5,754 ",32.8,"$53,175 ","$26,273 ",12.70%,"1,065","10,654","506,480",2.10%,"4,701","4,677","2,689","1,373",951,"3,614",448,"3,961",123.3,491.68,"""37069"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
