Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Gaston ,"224,529","206,098",8.90%,"206,086",5.90%,22.40%,16.30%,51.70%,77.60%,17.90%,0.60%,1.60%,0.10%,2.20%,7.60%,71.10%,"13,233",5.50%,"94,975",66.30%,"$136,500 ","$1,170 ",$379 ,$808 ,"1,396","81,494",2.62,86.40%,8.20%,85.30%,77.70%,84.70%,20.60%,11.50%,12.40%,61.30%,55.80%,"297,365","1,177,432","5,021,369","2,037,658","2,329,466","$11,197 ",26,"$49,384 ","$26,069 ",14.20%,"4,219","67,160","2,672,214",4.70%,"14,291","15,375","8,619","5,202","2,336","12,514","1,644","12,963",578.8,356.03,"""37071"""
Gates,"11,562","12,185",-5.10%,"12,197",4.60%,20.20%,20.90%,50.50%,65.30%,31.20%,0.60%,0.30%,0.10%,2.40%,2.40%,63.60%,818,0.60%,"5,492",78.30%,"$144,000 ","$1,259 ",$457 ,$794 ,31,"4,477",2.57,93.30%,2.10%,80.90%,67.10%,86.30%,14.40%,16.00%,10.80%,58.80%,54.50%,D,"7,008",D,"22,996","43,630","$3,676 ",37.1,"$52,205 ","$25,334 ",15.20%,119,827,"24,363",-6.00%,549,471,307,105,160,279,50,389,35.8,340.45,"""37073"""
Graham ,"8,441","8,858",-4.70%,"8,861",4.80%,19.80%,24.50%,50.00%,88.60%,0.50%,7.90%,0.50%,0.10%,2.20%,3.70%,86.10%,533,1.00%,"6,079",84.00%,"$119,200 ",$872 ,$287 ,$556 ,2,"3,288",2.57,92.70%,1.70%,61.80%,49.70%,81.00%,13.50%,12.20%,18.50%,48.60%,41.20%,"14,611",D,D,D,"44,505","$5,116 ",29.7,"$36,525 ","$19,323 ",18.90%,168,"1,826","67,665",1.80%,715,719,326,234,90,610,F,657,30.3,292.08,"""37075"""
Granville ,"60,443","57,538",5.00%,"59,916",5.10%,20.50%,17.70%,49.20%,64.50%,31.90%,0.90%,0.70%,0.10%,1.90%,8.50%,57.80%,"3,235",4.50%,"24,856",73.60%,"$149,400 ","$1,284 ",$407 ,$805 ,341,"21,030",2.62,88.40%,8.00%,85.30%,75.70%,84.20%,22.30%,11.50%,12.50%,58.10%,57.80%,"52,427","149,269","3,020,569",D,"349,961","$5,791 ",28.5,"$55,628 ","$26,228 ",13.00%,894,"15,703","636,087",13.30%,"3,480","3,178","1,679","1,247",927,"2,156",338,"2,543",112.7,531.57,"""37077"""
Greene ,"21,069","21,353",-1.30%,"21,362",5.00%,19.90%,17.00%,45.20%,58.70%,36.80%,2.20%,0.60%,0.30%,1.40%,15.70%,46.60%,"1,063",7.60%,"8,372",70.70%,"$85,900 ","$1,045 ",$392 ,$668 ,25,"7,259",2.56,81.60%,15.40%,83.00%,71.90%,74.10%,10.50%,18.10%,19.60%,52.30%,51.80%,D,"35,238",D,D,"83,534","$3,898 ",26.5,"$38,306 ","$18,339 ",23.50%,251,"2,114","63,646",1.10%,"1,075","1,105",620,355,347,734,165,909,80.3,265.93,"""37079"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
