Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Guilford,"537,174","488,454",10.00%,"488,406",5.80%,22.10%,15.50%,52.70%,56.00%,35.40%,0.80%,5.30%,0.10%,2.50%,8.40%,49.40%,"28,475",10.30%,"231,640",58.90%,"$162,400 ","$1,259 ",$432 ,$850 ,"1,956","202,731",2.49,85.00%,13.10%,86.20%,72.60%,89.10%,35.30%,7.50%,11.50%,63.40%,58.70%,"1,158,488","3,512,781","26,932,176","14,111,449","6,979,731","$13,935 ",21.6,"$51,072 ","$29,708 ",15.40%,"13,553","261,456","12,127,853",-0.20%,"42,996","45,746","22,594","17,884","14,168","29,574","4,438","38,576",756.4,645.7,"""37081"""
Halifax ,"50,010","54,624",-8.40%,"54,691",5.50%,21.20%,21.40%,51.80%,39.90%,53.80%,4.10%,0.90%,0.10%,1.30%,3.10%,38.00%,"2,836",2.00%,"26,035",62.70%,"$86,100 ","$1,066 ",$416 ,$698 ,51,"21,116",2.38,89.90%,3.40%,75.60%,56.90%,77.50%,14.40%,13.90%,13.30%,50.80%,49.00%,"86,565","223,011","486,339",D,"607,036","$11,240 ",24.6,"$34,251 ","$21,016 ",22.00%,940,"13,257","490,826",2.70%,"2,582","3,268","1,719","1,168","1,523","1,585",377,"2,658",75.5,724.09,"""37083"""
Harnett ,"135,976","114,691",18.60%,"114,678",7.30%,25.70%,12.80%,50.50%,71.30%,21.90%,1.70%,1.30%,0.20%,3.50%,13.40%,60.70%,"13,130",6.00%,"53,035",64.50%,"$148,400 ","$1,227 ",$396 ,$864 ,639,"45,086",2.82,83.30%,10.50%,89.20%,76.30%,86.30%,20.70%,10.10%,14.00%,55.60%,53.70%,"99,085","302,420","358,362",D,"869,419","$7,119 ",29.7,"$51,630 ","$23,011 ",14.40%,"1,716","21,913","709,003",-0.50%,"7,511","7,675","4,231","2,480","1,783","5,632","1,103","6,086",192.7,594.99,"""37085"""
Haywood ,"62,317","59,032",5.60%,"59,036",4.90%,18.20%,25.00%,51.70%,95.90%,1.40%,0.70%,0.60%,Z,1.40%,4.30%,92.20%,"5,536",2.50%,"35,742",71.90%,"$175,600 ","$1,177 ",$362 ,$748 ,434,"26,336",2.28,85.70%,3.70%,82.70%,69.10%,88.10%,25.00%,12.30%,12.30%,54.80%,49.70%,"102,702","314,080",D,"109,122","811,033","$13,768 ",23.1,"$49,800 ","$29,453 ",13.10%,"1,414","15,455","550,757",2.50%,"5,045","5,030","2,869","1,619",162,"4,732",444,"4,227",106.6,553.69,"""37087"""
Henderson ,"117,417","106,719",10.00%,"106,740",4.80%,18.70%,26.40%,52.00%,92.50%,3.40%,0.70%,1.30%,0.20%,1.90%,10.30%,83.10%,"9,802",7.30%,"58,811",72.50%,"$203,400 ","$1,260 ",$344 ,$823 ,619,"48,281",2.32,87.60%,10.20%,86.90%,79.50%,89.90%,31.80%,9.70%,14.60%,56.60%,51.10%,"170,035","581,872","2,625,038","740,515","1,330,773","$12,292 ",21.2,"$52,815 ","$29,860 ",9.70%,"2,791","34,656","1,407,532",4.80%,"9,657","10,032","5,537","3,037",947,"8,801","1,160","8,194",286.1,373.07,"""37089"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
