Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Hertford ,"23,677","24,677",-4.10%,"24,669",4.50%,18.50%,20.40%,50.20%,35.50%,61.00%,1.30%,0.80%,0.10%,1.40%,4.10%,32.70%,"1,246",3.30%,"10,651",67.10%,"$85,400 ",$989 ,$391 ,$733 ,2,"8,899",2.47,85.70%,5.00%,76.70%,60.00%,79.20%,14.60%,15.20%,12.30%,52.00%,52.90%,"29,002","155,755",D,"38,670","254,917","$10,431 ",26.1,"$37,005 ","$18,918 ",23.20%,485,"7,362","290,391",-1.10%,"1,067","1,120",590,379,549,488,89,943,69.9,353.06,"""37091"""
Hoke,"55,234","46,889",17.80%,"46,952",8.30%,27.10%,10.60%,50.70%,49.00%,35.50%,9.10%,1.50%,0.40%,4.50%,13.90%,38.70%,"5,835",5.90%,"21,344",67.60%,"$139,000 ","$1,201 ",$388 ,$877 ,238,"17,722",2.92,84.50%,11.60%,86.40%,78.30%,86.00%,18.40%,13.40%,15.30%,52.40%,53.60%,"16,467","49,547","1,654,104","49,602","257,678","$5,099 ",27.5,"$47,535 ","$20,656 ",18.00%,460,"5,698","173,868",2.90%,"2,706","2,417","1,172","1,058","1,199","1,154",234,"2,056",120.2,390.74,"""37093"""
Hyde ,"4,937","5,817",-15.10%,"5,810",3.70%,17.00%,22.60%,46.60%,70.10%,26.70%,0.80%,0.70%,Z,1.70%,9.80%,61.80%,216,4.40%,"3,406",68.10%,"$108,300 ","$1,126 ",$486 ,$801 ,5,"1,769",2.68,90.10%,12.00%,78.60%,55.20%,81.60%,9.40%,6.80%,17.20%,51.10%,53.30%,D,D,D,"84,767","30,415","$5,191 ",21.1,"$45,466 ","$18,433 ",22.20%,161,771,"27,707",-8.00%,593,581,326,87,46,502,F,522,9.5,612.7,"""37095"""
Iredell ,"181,806","159,464",14.00%,"159,437",5.50%,22.70%,16.20%,50.80%,82.30%,12.30%,0.50%,2.80%,0.10%,2.10%,8.00%,75.40%,"9,550",6.30%,"77,436",71.90%,"$180,700 ","$1,303 ",$351 ,$854 ,"1,263","65,246",2.62,85.30%,9.30%,89.00%,80.20%,89.00%,27.50%,9.60%,12.10%,64.70%,57.40%,"289,578","758,713","3,628,934","1,232,988","2,249,922","$13,828 ",25.8,"$58,198 ","$32,006 ",9.50%,"4,840","70,552","3,116,199",4.60%,"14,434","15,864","9,105","4,597","1,609","13,720","1,788","13,141",277.8,573.83,"""37097"""
Jackson ,"43,938","40,270",9.10%,"40,271",4.40%,16.40%,19.90%,50.80%,85.20%,2.40%,9.10%,1.10%,Z,2.20%,6.20%,80.60%,"2,969",3.00%,"27,832",64.50%,"$192,300 ","$1,163 ",$292 ,$723 ,749,"16,642",2.32,82.00%,5.70%,83.10%,67.20%,88.40%,30.50%,10.10%,17.40%,54.50%,51.20%,"548,517","201,591","64,546",D,"403,657","$9,980 ",19.9,"$44,028 ","$24,073 ",16.70%,985,"12,000","414,349",3.50%,"3,200","3,461","2,050",977,286,"3,064",590,"2,592",82.1,490.76,"""37099"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
