Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Johnston,"209,339","168,878",24.00%,"168,878",6.20%,25.20%,13.60%,51.00%,78.80%,17.00%,0.90%,0.90%,0.10%,2.20%,14.10%,66.80%,"12,949",7.70%,"79,849",71.60%,"$156,800 ","$1,252 ",$398 ,$848 ,"2,651","67,154",2.82,88.30%,12.40%,89.20%,76.20%,86.30%,21.80%,10.50%,13.60%,64.50%,59.90%,"243,001","457,107","3,712,563","897,570","2,134,227","$12,200 ",30.4,"$56,842 ","$25,847 ",11.70%,"3,453","42,161","1,577,503",2.10%,"14,299","12,617","7,414","4,060","2,581","9,662","1,401","10,699",213.4,791.3,"""37101"""
Jones ,"9,419","10,167",-7.40%,"10,153",4.90%,18.20%,24.00%,51.40%,67.10%,29.30%,1.10%,0.60%,Z,1.90%,5.10%,62.90%,867,2.90%,"5,019",72.80%,"$88,700 ","$1,071 ",$339 ,$644 ,22,"4,137",2.31,90.70%,5.10%,74.80%,56.50%,81.60%,13.10%,18.80%,15.80%,52.70%,46.00%,D,"47,658",D,D,"33,706","$3,280 ",27.8,"$36,892 ","$21,539 ",16.20%,137,841,"26,013",-2.00%,583,824,416,329,142,664,78,696,21.6,470.71,"""37103"""
Lee,"61,779","57,849",6.80%,"57,866",6.30%,23.70%,16.80%,51.20%,74.70%,20.00%,1.30%,1.40%,0.20%,2.40%,19.60%,57.80%,"4,030",10.30%,"24,728",66.60%,"$138,300 ","$1,152 ",$394 ,$749 ,185,"21,744",2.72,88.30%,18.00%,84.10%,74.40%,83.40%,20.90%,11.60%,16.20%,61.50%,56.30%,"84,242","249,709","2,751,473",D,"832,196","$13,936 ",24.8,"$48,873 ","$23,842 ",15.70%,"1,330","25,313","1,120,682",7.50%,"4,005","4,810","2,606","1,668",928,"3,688",628,"3,835",227,254.96,"""37105"""
Lenoir ,"55,949","59,507",-6.00%,"59,495",5.60%,22.40%,20.20%,52.20%,55.40%,41.40%,0.60%,0.70%,0.20%,1.60%,7.90%,48.90%,"4,125",4.30%,"27,712",59.40%,"$95,700 ","$1,125 ",$431 ,$724 ,90,"23,121",2.42,84.00%,8.00%,82.00%,74.40%,80.40%,14.50%,19.10%,14.20%,58.10%,52.20%,"78,364","305,492",D,"478,311","728,897","$12,307 ",22,"$38,387 ","$22,361 ",22.10%,"1,176","23,748","846,626",-2.20%,"3,234","4,470","2,601","1,449","1,146","3,141",881,"3,289",148.5,400.59,"""37107"""
Lincoln ,"86,111","78,014",10.40%,"78,265",5.20%,21.10%,17.90%,50.40%,91.30%,5.80%,0.50%,0.80%,0.10%,1.60%,7.50%,84.60%,"5,476",4.80%,"37,525",76.40%,"$160,800 ","$1,198 ",$356 ,$726 ,725,"32,022",2.52,88.80%,7.30%,86.50%,79.00%,85.60%,21.40%,11.50%,12.40%,61.60%,55.00%,"75,439","223,502","1,884,896","332,854","789,837","$9,958 ",29.7,"$53,318 ","$29,089 ",10.30%,"1,736","19,508","756,616",1.20%,"6,357","5,274","2,876","1,742",558,"4,578",455,"4,547",262.7,297.94,"""37109"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
