Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Macon ,"35,858","33,925",5.70%,"33,922",4.80%,18.40%,28.90%,51.50%,95.10%,1.70%,0.90%,1.00%,0.10%,1.20%,7.40%,88.60%,"2,820",5.10%,"25,716",72.80%,"$165,800 ","$1,055 ",$305 ,$747 ,5,"15,699",2.17,86.50%,6.60%,82.10%,70.70%,88.60%,24.20%,11.30%,17.90%,50.80%,44.60%,"63,264","134,134","181,176","33,833","432,474","$12,769 ",21.3,"$43,597 ","$28,429 ",16.30%,"1,139","9,541","329,017",2.10%,"3,313","4,247","2,106","1,330",214,"3,928",267,"3,736",65.8,515.56,"""37113"""
Madison ,"21,755","20,782",4.70%,"20,764",4.70%,17.50%,23.10%,50.70%,96.10%,1.50%,0.50%,0.50%,Z,1.40%,2.40%,93.90%,"1,519",1.90%,"11,136",72.60%,"$180,400 ","$1,306 ",$329 ,$678 ,105,"8,452",2.4,87.50%,2.30%,81.00%,70.50%,85.40%,27.60%,12.20%,12.50%,56.20%,52.30%,"12,206","37,892",D,"6,806","111,500","$5,376 ",28.6,"$42,410 ","$25,326 ",17.00%,347,"3,014","94,886",-2.80%,"2,037","1,741",980,578,65,"1,645",186,"1,482",46.2,449.57,"""37115"""
Martin ,"22,440","24,515",-8.50%,"24,505",5.50%,20.20%,23.90%,53.00%,55.30%,42.10%,0.60%,0.50%,0.20%,1.30%,4.10%,52.30%,"1,328",1.90%,"11,583",69.70%,"$88,400 ","$1,027 ",$425 ,$671 ,X,"9,471",2.42,93.00%,4.00%,79.40%,62.10%,83.30%,16.80%,13.10%,12.00%,55.00%,51.50%,"25,715","95,297","557,413","77,265","249,138","$10,398 ",24.7,"$39,205 ","$23,269 ",20.30%,439,"5,344","150,240",-2.70%,"1,298","1,535",890,429,531,902,174,"1,293",53.1,461.22,"""37117"""
McDowell ,"45,756","45,002",1.70%,"44,996",5.00%,20.00%,20.80%,50.20%,92.30%,4.20%,0.80%,1.10%,0.10%,1.50%,6.40%,87.20%,"2,760",3.90%,"21,600",71.80%,"$113,900 ",$971 ,$278 ,$643 ,127,"17,961",2.45,90.70%,6.60%,81.40%,70.10%,83.80%,16.90%,16.40%,13.80%,53.50%,49.60%,"46,500","119,398","1,324,204","393,226","457,780","$10,173 ",23.6,"$40,913 ","$22,725 ",15.40%,757,"13,683","554,545",1.00%,"2,722","2,577","1,429",765,147,"2,338",274,"2,078",102.1,440.61,"""37111"""
Mecklenburg ,"1,110,356","919,664",20.70%,"919,628",6.60%,23.30%,11.50%,51.90%,57.30%,33.00%,0.80%,6.30%,0.10%,2.50%,13.80%,46.10%,"48,118",15.00%,"466,911",56.50%,"$219,800 ","$1,462 ",$492 ,"$1,099 ","12,429","403,546",2.57,81.30%,19.70%,93.40%,86.50%,90.10%,44.80%,5.70%,13.00%,71.10%,65.50%,"2,845,124","8,163,870","11,150,033","21,895,908","14,756,869","$15,228 ",26.2,"$64,312 ","$37,298 ",11.70%,"32,438","633,681","40,233,729",1.70%,"103,292","101,799","52,010","39,281","36,742","60,404","9,615","86,440","1,755.50",523.84,"""37119"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
