Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Mitchell ,"14,964","15,581",-4.00%,"15,579",4.80%,18.30%,25.50%,50.60%,96.00%,0.80%,0.90%,0.70%,0.20%,1.40%,6.20%,91.10%,864,3.30%,"8,860",80.30%,"$150,100 ","$1,040 ",$321 ,$591 ,25,"6,361",2.31,92.10%,6.20%,76.70%,67.10%,84.50%,18.80%,12.00%,14.50%,51.70%,44.50%,"19,425","97,599","56,475","24,962","182,109","$11,850 ",24.6,"$44,186 ","$23,907 ",16.10%,361,"3,700","143,553",-5.60%,"1,162","1,293",741,262,77,"1,164",145,906,70.4,221.43,"""37121"""
Montgomery ,"27,173","27,782",-2.20%,"27,798",5.20%,21.70%,21.10%,51.10%,76.40%,19.00%,1.10%,1.60%,0.10%,1.80%,15.60%,62.90%,"1,836",8.80%,"16,319",72.70%,"$108,300 ",$988 ,$339 ,$575 ,78,"10,411",2.51,90.10%,14.90%,75.60%,67.30%,79.30%,14.70%,9.80%,15.40%,50.80%,48.50%,D,"61,384","803,185","62,709","189,757","$6,858 ",23.5,"$42,346 ","$22,760 ",16.70%,509,"7,848","287,334",-0.50%,"1,508","1,890","1,155",600,330,"1,511",223,"1,567",56.5,491.76,"""37123"""
Moore ,"100,880","88,250",14.30%,"88,247",5.90%,21.40%,24.00%,51.70%,83.10%,12.00%,1.00%,1.60%,0.20%,2.10%,7.10%,77.00%,"8,414",4.50%,"48,635",75.30%,"$210,200 ","$1,378 ",$388 ,$855 ,836,"38,965",2.42,88.10%,7.30%,85.60%,80.70%,90.40%,36.90%,10.10%,11.90%,54.40%,51.30%,"236,674","913,446","781,495","224,382","1,094,899","$12,125 ",24.4,"$57,899 ","$33,432 ",10.50%,"2,280","32,400","1,317,145",4.40%,"8,133","8,479","4,445","3,000",965,"7,247",951,"7,102",126.5,697.84,"""37125"""
Nash,"94,298","95,829",-1.60%,"95,840",5.60%,21.80%,19.00%,52.10%,54.70%,41.30%,1.00%,1.00%,0.10%,1.90%,7.40%,48.90%,"6,355",4.20%,"43,324",65.70%,"$126,200 ","$1,190 ",$431 ,$769 ,200,"36,720",2.5,86.80%,6.80%,82.90%,73.40%,85.40%,20.90%,11.00%,12.10%,61.20%,58.30%,"166,687","349,427","3,184,367","2,693,864","1,234,476","$12,898 ",22.2,"$48,362 ","$26,980 ",14.20%,"2,058","37,620","1,484,496",3.40%,"6,040","7,041","3,613","2,562","2,498","4,239",757,"5,775",177.3,540.41,"""37127"""
New Hanover ,"234,473","202,683",15.70%,"202,667",4.70%,18.20%,18.40%,52.40%,82.20%,13.40%,0.60%,1.60%,0.10%,2.10%,5.80%,77.40%,"15,345",5.10%,"114,839",57.20%,"$233,700 ","$1,510 ",$519 ,$978 ,"3,006","93,636",2.32,82.20%,6.40%,91.00%,83.50%,92.90%,39.30%,9.00%,11.70%,62.30%,59.10%,"623,342","1,277,398","2,449,546","1,189,386","3,871,707","$18,504 ",20.2,"$52,716 ","$32,629 ",15.30%,"7,709","102,021","4,466,247",2.40%,"21,300","24,939","13,879","8,044","2,873","21,115","2,542","20,861","1,058.10",191.53,"""37129"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
