Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Northampton ,"19,483","22,106",-11.90%,"22,099",4.70%,17.20%,27.00%,51.00%,40.40%,57.20%,0.70%,0.30%,Z,1.40%,2.60%,38.80%,"1,345",1.60%,"11,676",69.00%,"$83,100 ","$1,064 ",$418 ,$701 ,20,"8,628",2.24,88.80%,2.60%,71.50%,51.20%,79.50%,12.80%,14.90%,12.50%,46.00%,43.60%,"4,602","26,442","246,437",D,"131,215","$6,124 ",26.1,"$35,499 ","$20,538 ",21.40%,244,"4,370","159,402",3.50%,915,"1,090",628,412,479,582,237,815,41.2,536.59,"""37131"""
Onslow ,"197,938","177,801",11.30%,"177,772",8.70%,24.60%,9.60%,45.10%,76.20%,15.80%,0.90%,2.20%,0.30%,4.60%,12.90%,65.70%,"24,448",4.00%,"81,065",52.80%,"$153,900 ","$1,257 ",$382 ,$998 ,"1,331","64,065",2.71,71.40%,10.30%,93.30%,85.50%,91.20%,21.40%,14.20%,9.90%,46.40%,54.60%,"353,051","491,728","270,979","139,069","2,213,042","$12,076 ",21.2,"$49,491 ","$23,783 ",15.10%,"2,832","36,233","1,045,981",1.90%,"10,712","10,610","5,499","3,798","1,660","8,636","1,513","8,386",233.1,762.74,"""37133"""
Orange,"148,476","133,693",11.10%,"133,801",4.40%,19.20%,14.60%,52.30%,76.90%,11.80%,0.60%,8.10%,0.10%,2.60%,8.60%,69.50%,"5,736",13.30%,"60,273",61.90%,"$292,500 ","$1,797 ",$577 ,"$1,077 ",495,"52,529",2.51,77.40%,17.00%,93.50%,87.40%,92.70%,57.60%,5.90%,10.40%,64.80%,62.10%,"283,037","1,389,903","161,418","510,445","1,385,293","$10,043 ",22.9,"$68,211 ","$40,650 ",12.40%,"3,294","47,820","2,307,786",2.90%,"13,826","14,373","7,689","5,219","2,019","11,822","1,240","12,448",336.2,397.96,"""37135"""
Pamlico ,"12,726","13,143",-3.20%,"13,144",3.70%,15.10%,30.40%,49.10%,77.60%,18.90%,0.80%,0.60%,0.20%,1.80%,4.30%,74.20%,"1,614",2.90%,"7,794",75.10%,"$154,500 ","$1,176 ",$416 ,$706 ,64,"5,352",2.25,88.40%,5.10%,84.50%,69.30%,88.00%,19.40%,14.20%,13.20%,47.30%,46.50%,D,"42,983",D,D,"100,096","$7,656 ",29.2,"$44,947 ","$27,026 ",16.60%,237,"2,204","63,549",-0.40%,993,"1,015",615,295,190,765,137,826,39.1,336.54,"""37137"""
Pasquotank,"39,824","40,661",-2.10%,"40,661",6.10%,22.00%,17.20%,51.10%,58.50%,36.60%,0.60%,1.60%,0.10%,2.60%,5.80%,54.30%,"3,630",3.90%,"17,346",61.00%,"$158,700 ","$1,364 ",$462 ,$864 ,144,"14,780",2.51,87.20%,7.00%,84.40%,74.00%,86.50%,20.50%,10.20%,11.60%,55.50%,52.70%,"76,883","225,144",D,"176,254","698,264","$17,202 ",28.1,"$48,279 ","$23,699 ",18.20%,903,"11,086","409,857",-0.30%,"2,664","3,040","1,646","1,129",934,"1,952",502,"2,352",179.2,226.88,"""37139"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
