Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Pender ,"63,060","52,196",20.80%,"52,217",5.70%,22.20%,18.60%,50.20%,81.50%,14.70%,0.90%,0.70%,0.10%,2.10%,7.50%,75.40%,"4,735",4.00%,"30,003",80.50%,"$179,500 ","$1,387 ",$405 ,$895 ,569,"21,766",2.66,86.60%,7.50%,88.10%,75.30%,87.50%,26.40%,12.50%,12.80%,57.50%,53.70%,"50,456","97,306","191,360","179,439","386,690","$7,135 ",28.3,"$52,989 ","$27,724 ",15.10%,"1,132","9,156","287,319",1.80%,"4,672","4,448","2,442","1,580",676,"3,644",360,"3,900",60,869.8,"""37141"""
Perquimans ,"13,463","13,452",0.10%,"13,453",4.50%,18.60%,27.30%,52.10%,74.60%,22.70%,0.50%,0.50%,Z,1.70%,2.70%,72.60%,"1,347",2.10%,"7,207",74.10%,"$169,900 ","$1,230 ",$454 ,$833 ,41,"5,919",2.26,90.90%,1.90%,82.80%,69.30%,86.50%,20.40%,8.90%,13.60%,50.80%,46.00%,"8,590","8,933",D,"36,791","66,360","$4,893 ",32.4,"$45,915 ","$25,809 ",15.80%,185,"1,355","46,017",1.70%,958,"1,128",706,339,162,934,72,"1,006",54.4,247.09,"""37143"""
Person ,"39,490","39,476",0.00%,"39,464",5.30%,20.60%,20.10%,51.70%,70.00%,26.80%,0.90%,0.40%,Z,1.90%,4.50%,66.30%,"2,486",3.00%,"18,628",75.20%,"$117,100 ","$1,083 ",$378 ,$711 ,112,"15,744",2.46,90.70%,4.70%,82.60%,74.40%,86.30%,15.30%,14.40%,11.70%,61.70%,60.20%,"41,293","98,851","841,222","175,969","378,438","$9,637 ",31.7,"$48,811 ","$25,922 ",14.80%,683,"8,424","321,034",4.80%,"2,262","2,287","1,186",830,390,"1,780",258,"1,909",100.6,392.32,"""37145"""
Pitt ,"180,742","168,176",7.50%,"168,148",5.70%,21.20%,13.90%,53.10%,59.10%,35.90%,0.50%,2.10%,0.10%,2.20%,6.50%,54.10%,"10,434",4.70%,"81,246",52.40%,"$141,100 ","$1,285 ",$441 ,$778 ,"1,030","69,169",2.47,78.30%,7.00%,87.70%,78.20%,89.40%,31.80%,8.90%,11.80%,64.00%,60.70%,"357,637","1,879,971","2,160,814","1,028,697","2,354,799","$13,647 ",20.9,"$44,315 ","$25,722 ",23.20%,"3,601","62,131","2,476,884",2.30%,"10,993","13,055","6,426","4,782","3,786","8,742","1,245","11,023",257.9,651.98,"""37147"""
Polk ,"20,724","20,516",1.00%,"20,510",3.80%,15.70%,32.10%,52.10%,92.80%,4.20%,0.60%,0.80%,Z,1.50%,5.90%,87.70%,"1,557",3.60%,"11,846",73.40%,"$212,300 ","$1,259 ",$386 ,$828 ,84,"9,047",2.22,89.30%,5.60%,86.40%,76.30%,90.90%,31.70%,10.50%,14.00%,52.10%,50.10%,"14,416","104,400","78,166",D,"100,771","$4,971 ",27,"$48,834 ","$30,344 ",11.80%,483,"3,910","126,332",-1.00%,"1,994","2,163","1,255",701,88,"2,021",411,"1,677",86.3,237.79,"""37149"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
