Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Randolph ,"143,667","141,824",1.30%,"141,752",5.60%,22.20%,18.10%,50.70%,88.80%,6.60%,1.20%,1.50%,0.10%,1.80%,12.00%,78.40%,"8,931",6.50%,"62,925",71.80%,"$120,800 ","$1,066 ",$338 ,$672 ,302,"56,041",2.53,88.70%,12.00%,83.00%,71.00%,81.40%,15.80%,11.70%,15.70%,60.90%,55.80%,"158,579","363,922","4,557,254","836,640","1,107,887","$7,777 ",23.8,"$45,006 ","$24,127 ",13.80%,"2,518","39,361","1,387,524",0.40%,"9,940","11,207","6,353","3,524","1,285","9,635",907,"9,854",181.1,782.52,"""37151"""
Richmond ,"44,829","46,647",-3.90%,"46,639",6.10%,23.00%,18.30%,51.00%,61.30%,31.90%,3.30%,1.00%,0.20%,2.30%,6.80%,56.50%,"2,769",4.00%,"21,954",66.10%,"$80,100 ",$926 ,$350 ,$642 ,249,"18,546",2.36,87.10%,6.00%,78.00%,70.20%,80.30%,13.90%,13.20%,13.60%,53.40%,53.30%,"42,310","177,204","794,395",D,"449,820","$9,647 ",22.3,"$36,091 ","$20,745 ",19.90%,804,"11,409","376,167",3.40%,"2,037","2,708","1,315",963,703,"1,823",354,"2,162",98.4,473.82,"""37153"""
Robeson ,"130,625","134,229",-2.70%,"134,168",6.60%,24.70%,15.70%,51.80%,30.60%,23.60%,42.30%,0.70%,0.20%,2.70%,9.20%,24.70%,"6,775",4.20%,"53,384",65.00%,"$74,600 ",$986 ,$351 ,$626 ,426,"45,969",2.83,91.70%,7.80%,71.70%,54.20%,77.10%,13.20%,11.50%,18.50%,50.30%,47.30%,"139,055","580,993","3,081,397","604,365","1,395,642","$10,300 ",24.2,"$33,679 ","$17,881 ",24.50%,"1,786","31,702","1,053,506",0.20%,"7,458","9,090","4,509","4,105","5,540","3,296","1,151","7,619",141.3,949.22,"""37155"""
Rockingham,"91,010","93,645",-2.80%,"93,643",5.10%,20.10%,20.90%,51.70%,77.50%,19.00%,0.60%,0.70%,0.10%,2.10%,6.30%,72.10%,"5,793",3.70%,"44,422",69.10%,"$111,400 ","$1,022 ",$334 ,$658 ,165,"37,201",2.41,89.30%,6.00%,79.00%,68.40%,82.60%,15.00%,12.20%,13.30%,56.20%,51.40%,"91,128","287,512","4,268,306","397,593","866,255","$9,343 ",25.9,"$42,490 ","$23,604 ",17.90%,"1,628","22,228","728,643",-1.40%,"4,980","6,193","3,278","2,139","1,011","4,982",521,"5,330",165.6,565.55,"""37157"""
Rowan ,"142,088","138,494",2.60%,"138,428",5.80%,22.10%,17.90%,50.60%,79.40%,16.90%,0.60%,1.20%,0.10%,1.80%,9.40%,71.40%,"9,507",4.50%,"62,475",69.10%,"$130,700 ","$1,087 ",$332 ,$758 ,464,"52,301",2.59,87.10%,9.10%,85.70%,76.60%,85.30%,18.70%,11.10%,13.60%,59.40%,55.40%,"163,161","837,035","3,856,641","888,234","1,194,600","$8,645 ",24.8,"$48,667 ","$25,117 ",16.30%,"2,645","45,137","2,083,190",2.10%,"9,488","10,575","5,618","3,463","1,546","8,537","1,090","8,759",270.7,511.37,"""37159"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
