Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Rutherford ,"67,029","67,819",-1.20%,"67,810",5.10%,20.30%,22.20%,51.70%,87.00%,9.90%,0.40%,0.60%,0.10%,2.10%,4.80%,82.80%,"4,064",2.50%,"34,582",71.30%,"$114,800 ",$995 ,$296 ,$639 ,145,"26,345",2.48,87.60%,4.30%,78.60%,66.60%,82.60%,17.30%,14.60%,14.00%,53.00%,47.30%,"71,845","245,843","672,462","165,979","600,079","$8,913 ",25.8,"$40,347 ","$22,493 ",19.10%,"1,267","16,111","556,679",1.60%,"4,124","5,034","2,879","1,510",470,"4,366",527,"4,235",120.2,564.15,"""37161"""
Sampson,"63,531","63,471",0.10%,"63,431",6.50%,24.30%,18.30%,50.80%,66.60%,26.60%,3.70%,0.60%,0.30%,2.30%,20.60%,50.30%,"3,405",9.80%,"27,982",68.80%,"$88,800 ","$1,061 ",$375 ,$651 ,140,"23,537",2.66,86.00%,16.90%,79.00%,59.60%,77.70%,12.80%,13.80%,18.80%,58.50%,51.90%,D,"179,412","821,833","450,617","593,013","$9,273 ",25.1,"$39,068 ","$21,950 ",22.80%,969,"13,292","476,986",-3.70%,"3,670","3,605","2,109","1,206",945,"2,525",456,"2,958",67.1,944.74,"""37163"""
Scotland,"34,823","36,160",-3.70%,"36,157",6.60%,23.10%,18.80%,50.40%,44.60%,38.90%,12.80%,0.90%,0.10%,2.70%,3.30%,42.50%,"2,231",2.30%,"15,324",61.30%,"$84,500 ","$1,017 ",$376 ,$662 ,24,"13,113",2.49,85.80%,3.80%,74.90%,58.10%,79.80%,15.50%,12.10%,14.50%,49.30%,49.40%,"43,786","236,006","984,247","564,505","351,715","$9,744 ",22,"$35,617 ","$18,242 ",26.90%,578,"9,572","342,213",-0.40%,"1,860","2,120",851,"1,054",994,985,247,"1,744",113.4,318.85,"""37165"""
Stanly ,"62,806","60,586",3.70%,"60,585",5.80%,21.50%,19.30%,50.10%,84.40%,11.40%,0.50%,2.00%,0.30%,1.50%,4.40%,80.80%,"3,602",3.00%,"28,177",73.50%,"$134,100 ","$1,119 ",$362 ,$712 ,385,"23,717",2.49,88.20%,5.90%,85.90%,77.30%,85.10%,15.80%,10.80%,13.00%,61.10%,56.80%,"70,639","251,354","832,859","177,657","618,069","$10,203 ",26.3,"$49,590 ","$24,671 ",13.20%,"1,334","16,532","567,879",1.70%,"4,130","4,331","2,550","1,061",392,"3,758",449,"3,451",153.3,395.09,"""37167"""
Stokes ,"45,591","47,413",-3.80%,"47,401",4.50%,18.50%,21.80%,51.00%,93.70%,4.10%,0.50%,0.40%,Z,1.30%,3.30%,90.90%,"3,213",1.50%,"22,357",77.70%,"$128,600 ","$1,070 ",$321 ,$650 ,97,"19,302",2.35,92.80%,2.90%,80.10%,67.50%,83.50%,13.30%,10.40%,12.40%,58.20%,52.00%,"35,129","107,123","489,711","12,796","222,118","$4,748 ",29.1,"$46,169 ","$25,091 ",12.10%,628,"6,139","177,437",-2.60%,"2,861","2,843","1,615",984,158,"2,611",323,"2,439",105.6,448.86,"""37169"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
