Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Wayne ,"123,131","122,661",0.40%,"122,623",6.60%,23.60%,16.90%,51.30%,62.80%,32.40%,0.90%,1.30%,0.20%,2.50%,12.40%,52.70%,"12,619",7.70%,"54,732",61.50%,"$121,900 ","$1,138 ",$396 ,$750 ,323,"48,153",2.51,82.90%,13.50%,85.00%,75.90%,84.10%,19.50%,12.20%,14.80%,58.10%,54.70%,"161,664","606,558","1,691,320","1,244,827","1,557,491","$12,536 ",22,"$42,192 ","$24,124 ",20.20%,"2,156","33,564","1,177,152",-1.20%,"6,621","7,136","3,839","2,486","1,845","4,999",964,"5,594",221.7,553.09,"""37191"""
Wilkes,"68,412","69,310",-1.30%,"69,340",5.10%,20.10%,22.20%,50.90%,92.70%,4.70%,0.40%,0.60%,0.10%,1.50%,6.90%,86.70%,"4,466",4.10%,"33,766",74.20%,"$124,000 ","$1,019 ",$320 ,$625 ,92,"28,355",2.38,92.10%,6.30%,81.40%,71.30%,78.60%,15.50%,12.90%,15.30%,55.60%,50.30%,"65,660","233,666","1,156,115",D,"1,365,239","$19,699 ",24.6,"$40,829 ","$23,745 ",18.90%,"1,185","19,084","813,330",-1.10%,"4,441","5,280","3,274","1,315",377,"4,721",462,"4,512",91.9,754.28,"""37193"""
Wilson ,"81,801","81,224",0.70%,"81,234",5.90%,22.70%,18.70%,52.60%,55.80%,40.50%,0.60%,1.30%,0.10%,1.60%,10.80%,46.80%,"5,400",6.20%,"36,508",59.00%,"$121,300 ","$1,165 ",$452 ,$751 ,181,"32,128",2.48,88.10%,10.40%,82.20%,73.70%,80.30%,19.60%,11.40%,14.70%,59.20%,56.00%,"139,263","408,672","13,159,851",D,"992,692","$12,126 ",21.2,"$42,850 ","$24,273 ",21.10%,"1,752","31,745","1,338,703",1.90%,"4,834","5,990","3,099","2,183","1,834","3,784",614,"4,905",220.6,368.17,"""37195"""
Yadkin ,"37,667","38,409",-1.90%,"38,406",5.20%,20.80%,20.50%,50.50%,93.90%,3.40%,0.70%,0.50%,0.10%,1.30%,11.50%,83.80%,"2,371",5.00%,"17,450",76.70%,"$125,800 ","$1,019 ",$334 ,$625 ,58,"15,448",2.42,91.30%,8.90%,79.80%,68.60%,81.00%,11.30%,11.50%,14.50%,54.20%,48.70%,"34,414","60,395","748,255","87,706","242,856","$6,377 ",26.5,"$42,876 ","$23,566 ",13.00%,618,"9,187","299,705",6.20%,"2,342","3,022","1,862",813,118,"2,805",338,"2,515",114.7,334.83,"""37197"""
Yancey ,"18,069","17,817",1.40%,"17,818",4.70%,18.20%,26.30%,50.80%,96.40%,1.10%,0.80%,0.30%,0.30%,1.10%,5.50%,92.00%,931,3.10%,"11,295",74.30%,"$149,800 ",$973 ,$321 ,$620 ,68,"7,402",2.37,91.60%,4.40%,74.80%,64.20%,84.20%,20.00%,12.80%,15.10%,52.50%,47.10%,"11,639",D,"145,004","3,670","144,943","$8,221 ",28,"$39,888 ","$23,264 ",17.80%,323,"3,490","130,841",3.20%,"1,642","1,715","1,022",495,38,"1,606",233,"1,331",57,312.6,"""37199"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
